idx	headword	label	status	canon	slug	ch	v	url
0	Abraham	Genesis 12:1–3	OK	tanakh	genesis	12	1	/israelite-research/tanakh/chapter.html?book=genesis&ch=12#v1
0	Abraham	Genesis 17:5	OK	tanakh	genesis	17	5	/israelite-research/tanakh/chapter.html?book=genesis&ch=17#v5
1	Ad Hominem	John 7:24	FAIL	newtestament	john	7	24	None
1	Ad Hominem	Proverbs 18:17	OK	tanakh	proverbs	18	17	/israelite-research/tanakh/chapter.html?book=proverbs&ch=18#v17
2	Adam (Ha’Adam)	Genesis 2:7	OK	tanakh	genesis	2	7	/israelite-research/tanakh/chapter.html?book=genesis&ch=2#v7
2	Adam (Ha’Adam)	Genesis 1:26–27	OK	tanakh	genesis	1	26	/israelite-research/tanakh/chapter.html?book=genesis&ch=1#v26
3	Adamic	Genesis 2:7	OK	tanakh	genesis	2	7	/israelite-research/tanakh/chapter.html?book=genesis&ch=2#v7
3	Adamic	1 Corinthians 15:47	OK	tanakh	1-corinthians	15	47	/israelite-research/tanakh/chapter.html?book=1-corinthians&ch=15#v47
4	Afro-Levantine	Genesis 10:6	OK	tanakh	genesis	10	6	/israelite-research/tanakh/chapter.html?book=genesis&ch=10#v6
4	Afro-Levantine	1 Kings 10:1	OK	tanakh	1-kings	10	1	/israelite-research/tanakh/chapter.html?book=1-kings&ch=10#v1
5	Alexander the Great	Daniel 8:5–8	OK	tanakh	daniel	8	5	/israelite-research/tanakh/chapter.html?book=daniel&ch=8#v5
5	Alexander the Great	Daniel 8:21	OK	tanakh	daniel	8	21	/israelite-research/tanakh/chapter.html?book=daniel&ch=8#v21
5	Alexander the Great	1 Maccabees 1:1–4	OK	apocrypha	1-maccabees	1	1	/israelite-research/apocrypha/chapter.html?book=1-maccabees&ch=1
6	Amalek	Genesis 36:12	OK	tanakh	genesis	36	12	/israelite-research/tanakh/chapter.html?book=genesis&ch=36#v12
6	Amalek	Exodus 17:8–16	OK	tanakh	exodus	17	8	/israelite-research/tanakh/chapter.html?book=exodus&ch=17#v8
6	Amalek	Deuteronomy 25:17–19	OK	tanakh	deuteronomy	25	17	/israelite-research/tanakh/chapter.html?book=deuteronomy&ch=25#v17
6	Amalek	1 Samuel 15:2–3	OK	tanakh	1-samuel	15	2	/israelite-research/tanakh/chapter.html?book=1-samuel&ch=15#v2
