index	headword	has_apocrypha	suggested_label	slug	ch	vStart	rationale
0	Abraham	no					
1	Ad Hominem	no					
2	Adam (Ha’Adam)	no	Wisdom 14:12	wisdom	14	12	Origin and vanity of idolatry.
3	Adamic	no					
4	Afro-Levantine	no					
5	Alexander the Great	no	1 Maccabees 1:1–4	1-maccabees	1	1	Hellenistic conquest under Alexander; historical prologue.
6	Amalek	no	2 Maccabees 7:9	2-maccabees	7	9	Martyrdom and explicit hope in resurrection.
7	Amalek (of Esau)	no					
8	Amalekites	no					
9	America	no	Baruch 4:1	baruch	4	1	Torah as the way of life in exile reflection.
10	America (Edomite Extension)	no	Bel and the Dragon 1:1	bel-and-the-dragon	1	1	Refutation of idolatry via Bel and the Dragon narratives.
11	Ammonites	no					
12	Amorites	no					
13	And (Conjunction)	no					
14	Angels (Malakim)	no					
15	Appeal to Authority	no					
16	Appeal to Popularity (Ad Populum)	no					
17	Arabians	no					
18	Arabs (Ishmaelites)	no					
19	Archangel (Michael)	no					
20	Argument	no					
21	Ashkenaz	no					
22	Ass / Donkey	no					
23	Assyrians	no	Judith 8:14	judith	8	14	Judith counsels trust and action under siege.
24	Bear (Daniel’s Vision)	no					
25	Beast (Symbolic)	no					
26	Behemoth	no					
27	Berbers	no					
28	Bethlehem	no					
29	Black	no					
30	Bozrah (of Edom)	no					
31	Britain (Edomite Dominion)	no	Bel and the Dragon 1:1	bel-and-the-dragon	1	1	Refutation of idolatry via Bel and the Dragon narratives.
32	Bronze	no					
33	Bronze Mirror	no					
34	Brown	no					
35	Burnished	no					
36	Camel	no	Wisdom 14:12	wisdom	14	12	Origin and vanity of idolatry.
37	Canaanites	no					
38	Capernaum	no					
39	Captivity	no	Baruch 4:1	baruch	4	1	Torah as the way of life in exile reflection.
40	Chaldeans / Babylonians	no	Baruch 4:1	baruch	4	1	Torah as the way of life in exile reflection.
41	Cherubim	no					
42	Circular Reasoning (Begging the Question)	no					
43	Clean Animals	no					
44	Clouds	no					
45	Colonialism	no					
46	Color	no					
47	Complexion	no					
48	Conditional Statement	no					
49	Converse	no					
50	Copper-colored	no					
51	Copts	no					
52	Cylinder Seal	no					
53	Damascus	no					
54	Deductive Reasoning	no					
55	Diaspora	no	Baruch 4:1	baruch	4	1	Torah as the way of life in exile reflection.
56	Dove	no					
57	Dreadful Beast (Daniel’s Vision)	no					
58	Dun	no					
59	Dust-colored	no					
60	Eagle	no					
61	Earth	no					
62	Earthen	no					
63	Ebony	no					
64	Edom / Idumea	no	1 Maccabees 1:1–4	1-maccabees	1	1	Hellenistic conquest under Alexander; historical prologue.
65	Edomite Continuity (Overview)	no					
66	Edomites	no					
67	Egyptians (Mizraim)	no	Prayer of Azariah 1:1	prayer-of-azariah	1	1	Prayer in the fiery furnace; steadfast faith.
68	Egyptians (Mizraim)	no					
69	Esau	no	Bel and the Dragon 1:1	bel-and-the-dragon	1	1	Refutation of idolatry via Bel and the Dragon narratives.
70	Ethiopians	no					
71	Ethiopians (Aithiopes)	no					
72	Europe (Edomite Confederation)	no	Bel and the Dragon 1:1	bel-and-the-dragon	1	1	Refutation of idolatry via Bel and the Dragon narratives.
73	Fair	no					
74	Fallacy	no					
75	False Dichotomy	no					
76	Firmament / Heaven	no					
77	Galilee	no					
78	Galilee of the Gentiles	no					
79	Gentile	no					
80	Gentiles	no					
81	Girgashites	no					
82	Goat	no	1 Maccabees 1:1–4	1-maccabees	1	1	Hellenistic conquest under Alexander; historical prologue.
83	Greeks / Hellenes	no	1 Maccabees 1:1–4	1-maccabees	1	1	Hellenistic conquest under Alexander; historical prologue.
84	Ham	no					
85	Hasty Generalization	no					
86	He-Goat (Daniel’s Vision)	no	1 Maccabees 1:1–4	1-maccabees	1	1	Hellenistic conquest under Alexander; historical prologue.
87	Heavens (Threefold Structure)	no					
88	Hebrews	no					
89	Hebron	no					
90	Herod the Idumean	no					
91	Herodians (Idumean dynasty)	no					
92	Hittites	no					
93	Hivites	no					
94	Hue	no					
95	Idumea / Idumeans	no					
96	If-Then (Implication)	no					
97	Inductive Reasoning	no					
98	Isaac	no					
99	Ishmaelites	no					
100	Ivory Carving	no					
101	Jacob / Israel	no					
102	Jebusites	no					
103	Jerusalem	no					
104	Judea	no					
105	Judeans	no					
106	Justice	no	Prayer of Azariah 1:1	prayer-of-azariah	1	1	Prayer in the fiery furnace; steadfast faith.
107	Kenites	no					
108	Kittim (Chittim)	no					
109	Kushite Israelites	no					
110	Kushites / Ethiopians	no	1 Maccabees 1:1–4	1-maccabees	1	1	Hellenistic conquest under Alexander; historical prologue.
111	Kushites / Ethiopians	no					
112	Lamb	no	1 Maccabees 1:1–4	1-maccabees	1	1	Hellenistic conquest under Alexander; historical prologue.
113	Law of Identity	no					
114	Law of Non-Contradiction	no					
115	Leopard (Daniel’s Vision)	no	1 Maccabees 1:1–4	1-maccabees	1	1	Hellenistic conquest under Alexander; historical prologue.
116	Levantines	no					
117	Leviathan	no	Bel and the Dragon 1:1	bel-and-the-dragon	1	1	Refutation of idolatry via Bel and the Dragon narratives.
118	Libyans (Put)	no					
119	Light and Darkness	no					
120	Lion	no	Wisdom 14:12	wisdom	14	12	Origin and vanity of idolatry.
121	Lion (Daniel’s Vision)	no					
122	Little Horn	no	1 Maccabees 1:1–4	1-maccabees	1	1	Hellenistic conquest under Alexander; historical prologue.
123	Logic	no					
124	Medes	no	Judith 8:14	judith	8	14	Judith counsels trust and action under siege.
125	Melanated	no					
126	Melanin	no					
127	Midianites	no					
128	Moabite Stone	no					
129	Moabites	no					
130	Moon	no					
131	Moor	no					
132	Moses	no					
133	Mount Seir	no					
134	Nabataeans	no					
135	Nazareth	no					
136	Negro	no					
137	Nineveh	no					
138	Noah	no					
139	Oppression	no					
140	Or (Disjunction)	no					
141	Ostracon	no					
142	Ox	no					
143	Papyrus	no					
144	Parthians	no					
145	Perizzites	no					
146	Persians	no	Baruch 4:1	baruch	4	1	Torah as the way of life in exile reflection.
147	Philistines	no					
148	Phoenicians	no					
149	Pigment	no					
150	Post Hoc (False Cause)	no					
151	Racism	no					
152	Rain / Dew	no					
153	Rainbow (Covenant Sign)	no					
154	Ram	no					
155	Ram (Daniel’s Vision)	no	1 Maccabees 1:1–4	1-maccabees	1	1	Hellenistic conquest under Alexander; historical prologue.
156	Reasoning	no					
157	Red Dragon	no	1 Maccabees 1:1–4	1-maccabees	1	1	Hellenistic conquest under Alexander; historical prologue.
158	Red Herring	no					
159	Redemption	no	Prayer of Azariah 1:1	prayer-of-azariah	1	1	Prayer in the fiery furnace; steadfast faith.
160	Romans	no					
161	Rome (Edom in later tradition)	no					
162	Rome (Edomite Power)	no	1 Maccabees 1:1–4	1-maccabees	1	1	Hellenistic conquest under Alexander; historical prologue.
163	Ruddy	no					
164	Ruddy	no					
165	Samaria	no					
166	Samaritans	no	Baruch 4:1	baruch	4	1	Torah as the way of life in exile reflection.
167	Scarlet Beast	no	Bel and the Dragon 1:1	bel-and-the-dragon	1	1	Refutation of idolatry via Bel and the Dragon narratives.
168	Seasons & Appointed Times (Moedim)	no					
169	Seraphim	no	Prayer of Azariah 1:1	prayer-of-azariah	1	1	Prayer in the fiery furnace; steadfast faith.
170	Serpent	no					
171	Serpent (Symbolic)	no	Bel and the Dragon 1:1	bel-and-the-dragon	1	1	Refutation of idolatry via Bel and the Dragon narratives.
172	Servitude / Indentured Servitude	no					
173	Seth	no					
174	Shekel Weight	no					
175	Shemites / Semites	no	Judith 8:14	judith	8	14	Judith counsels trust and action under siege.
176	Signet Ring	no					
177	Signs in the Heavens	no	Baruch 4:1	baruch	4	1	Torah as the way of life in exile reflection.
178	Slavery	no					
179	Slippery Slope	no					
180	Stars	no					
181	Stela	no					
182	Straw Man	no					
183	Sudanese (Kushite Nubians)	no					
184	Sun	no					
